CODE_NUTS3,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,NTL_avg,NO2_avg,WIND_Avg,Temp_mean_over12yrs,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
FRM01,40.0,23936.0,22461.0,30215.0,34543.0,5.0,68694,116327,4030.69,5.32793209718333,0.686360544027114,4.42440097817668,13.3392060361527,1.17106342928277,59.7367235377983,15287.1347701461,2.23035419807052
DEG0E,68.0,7842.0,7317.0,11723.0,15698.0,-2.0,30182,32103,926.57,7.1095085144043,3.41615509575716,3.24815867886399,7.49795876500535,0.863606898622079,68.5683398969246,10214.6147109523,1.86107519760237
UKI43,11582.0,88315.0,127173.0,141248.0,89893.0,5.0,227194,213251,43.87,63.0,6.08650206707561,3.94913192590078,10.409780104955,1.00028356909752,52.4160877863566,9690.35934448242,1.2641387283802
UKI32,11784.0,41186.0,55174.0,72937.0,47276.0,11.0,129937,125666,21.75,62.9947919845581,5.83882408362848,3.82737269004186,10.8110822240512,1.0096354012688,52.5387727419535,9636.92753092448,1.0108537375927
UKD11,114.0,37355.0,37116.0,37712.0,52973.0,0.0,107465,114878,2036.12,7.42658726525094,2.06858333432012,5.48182735272816,8.01092999322074,0.93380401336721,111.759864966075,8970.92718796503,2.115396742758
DEF0A,119.0,16538.0,17806.0,19329.0,32186.0,1.0,62938,64742,1068.2,11.9166667461395,3.27470070361543,4.78929878398776,8.42097497731447,0.949024453448753,62.3615195552508,9653.08921750387,1.69891165676764
SE212,21.0,36514.0,37854.0,36405.0,36316.0,7.0,90945,96290,9319.58,5.98304142676078,1.73498400439987,2.79680380503908,6.16496552905008,0.812792516690936,61.1327770905529,9756.80358714737,2.08337631243937
DE40D,39.0,12147.0,11146.0,16854.0,25091.0,0.0,50559,54082,2492.74,4.94886367068146,3.0352986138176,3.8212275976936,8.83894318190141,0.929945743021866,46.4337927500407,9979.38816229502,1.85107661450087
DEB13,200.0,17251.0,20991.0,20997.0,31385.0,0.0,58572,62434,634.16,13.4409722089767,6.4097708373434,3.36118054389954,8.55321762338281,0.921478007237116,84.3940971692403,9990.52380371094,2.09269781004299
DE80N,62.0,29115.0,31775.0,40977.0,55853.0,-1.0,123078,137458,3742.34,5.03305042417789,2.81176789583983,3.87767053339757,8.37850947205894,0.940316330210692,45.6867249482343,10029.9942653941,1.80434482475606
UKN13,198.0,28347.0,25994.0,28121.0,29604.0,3.0,58263,61291,717.44,23.1458332321861,1.46755474246023,4.48045267219897,9.04232175041128,0.961360422549424,85.5173600161517,8908.74096227575,1.79427890366886
DED2E,167.0,32483.0,25367.0,42110.0,57402.0,-1.0,124242,136002,1435.48,14.464912314164,3.931064817199,3.65843620344445,9.30143709309158,0.931723893792541,51.5978328916762,10263.3298430266,1.35320236993163
DE273,1089.0,8893.0,13389.0,12945.0,14076.0,6.0,36109,35414,62.67,30.0277786254883,2.51258962702078,2.3082754611969,7.19155096511046,0.852199067672094,115.634838104248,11586.1074625651,3.37033026559012
UKD63,383.0,57973.0,57365.0,58991.0,74589.0,3.0,153454,159953,886.89,32.5439816315969,4.0670148376429,4.23384005595476,9.37659149292188,0.995813704836063,60.5896025682107,9473.43102166592,2.09836864598254
FRJ26,50.0,32034.0,31319.0,34696.0,47707.0,-1.0,106492,160664,4518.44,8.49985831367726,0.646982141655116,3.89772489686417,9.28188884336337,0.894524894216481,100.269437621622,13783.4646682241,1.57125623223885
DEB23,60.0,13628.0,16277.0,16964.0,23968.0,2.0,44319,51856,1608.2,9.85416653042748,4.07116203727546,3.71463017709672,8.37633654436106,0.906307874454392,78.2017747485448,10412.5076497396,1.61380738969892
DE211,1026.0,19091.0,25760.0,30219.0,28429.0,6.0,69229,69274,131.82,40.1527786254883,3.84928704102834,2.6163773338,8.56140060101946,0.915891200304031,61.5353012084961,10993.615641276,1.47572660446167
DE225,80.0,9638.0,13176.0,13205.0,19690.0,1.0,36437,37810,973.08,9.5571580850161,2.37368055631717,2.85542534622881,6.48739388502306,0.818415796177255,95.4667727682326,10651.5837860107,2.99998583147923
DE713,2843.0,20003.0,24371.0,28059.0,26670.0,7.0,64619,61820,44.29,50.5097213745117,5.29131481802022,2.7226851383845,10.2565392951171,0.969849541783333,55.1915512084961,10360.5048014323,1.3900211751461
DE26B,138.0,15351.0,18858.0,19764.0,28283.0,2.0,53681,54831,831.34,13.9562500953674,3.72871296863865,2.71269465576519,8.66020623791899,0.912025984941107,53.8210753238562,10448.1885043058,1.31379842438868
