CODE_NUTS3,COVID_Mortality_R,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS
DE21L,9.50028500855026,281.0,20309.0,20788.0,22781.0,33121.0,5.0,65820,66203
DE21M,49.5528977183143,116.0,23698.0,29608.0,30655.0,41660.0,4.0,85578,87204
DE21N,2.21809820260109,140.0,19132.0,22176.0,23262.0,32384.0,4.0,64064,64174
DE221,12.4702100537605,1096.0,9366.0,13431.0,14711.0,15587.0,9.0,38229,38163
DE222,34.5661942620118,748.0,5537.0,12754.0,9431.0,10127.0,5.0,30180,31585
DE223,100.204584359734,710.0,5733.0,8647.0,9298.0,10985.0,5.0,25055,25049
DE224,12.5698675135964,139.0,15633.0,21071.0,21695.0,28696.0,3.0,57075,58167
DE225,15.2568878491602,80.0,9638.0,13176.0,13205.0,19690.0,1.0,36437,37810
DE226,28.6331359010439,115.0,17727.0,21756.0,23192.0,29062.0,6.0,54932,54496
DE227,19.5064245353066,118.0,23288.0,26663.0,29821.0,39233.0,6.0,69454,67553
DE228,16.1751507941477,125.0,24778.0,31262.0,33384.0,46607.0,3.0,89513,90536
DE229,15.4342821129532,80.0,9809.0,12872.0,13284.0,18856.0,2.0,37359,38838
DE22A,41.2939884211656,95.0,16098.0,20781.0,21187.0,28912.0,3.0,54232,54467
DE22B,28.8511281785984,84.0,14044.0,16804.0,18146.0,24928.0,3.0,43844,44107
DE22C,10.345327015787,110.0,12927.0,17216.0,18307.0,23340.0,4.0,43152,42296
DE231,9.45112586536871,844.0,5254.0,7238.0,7516.0,9595.0,2.0,22841,23334
DE232,6.54403151605578,1893.0,18808.0,35852.0,33987.0,30082.0,9.0,91177,92821
DE233,46.9682025268893,604.0,5162.0,7581.0,7485.0,9746.0,2.0,23859,24304
DE234,52.4531564172551,82.0,13050.0,17254.0,17304.0,26146.0,0.0,48279,49634
DE235,16.3993315320099,84.0,16704.0,21441.0,22549.0,31204.0,2.0,59143,61514
DE236,12.7152238627354,100.0,18554.0,23627.0,24264.0,32938.0,5.0,59256,59223
DE237,77.2543997968104,66.0,12102.0,15809.0,16378.0,23671.0,-1.0,43567,46497
DE238,8.25061235013536,139.0,27612.0,31614.0,36076.0,48064.0,4.0,88007,87900
DE239,13.5664041567462,101.0,19342.0,25003.0,26796.0,35920.0,3.0,68975,69134
DE23A,192.646411272567,67.0,9024.0,11829.0,11998.0,18073.0,-1.0,34746,36708
DE241,28.2889068909205,1425.0,9598.0,17622.0,15602.0,15801.0,9.0,43876,43535
DE242,14.819205690575,1111.0,7889.0,18600.0,12787.0,14631.0,4.0,42365,43073
DE243,9.69438452776229,857.0,4812.0,7554.0,7217.0,9225.0,1.0,23096,23929
DE244,10.8509299246945,795.0,5956.0,8129.0,7772.0,10167.0,3.0,26113,27321
DE245,25.0864465387484,126.0,20555.0,24385.0,27040.0,37406.0,2.0,67264,66827
DE246,26.9285144115639,82.0,13509.0,15766.0,17616.0,26430.0,-1.0,49505,50915
DE247,34.4510794671566,148.0,11018.0,13169.0,14641.0,21764.0,0.0,41922,42260
DE248,3.43698713707564,181.0,16081.0,18978.0,20504.0,29188.0,3.0,54253,54174
DE249,33.4843617566733,107.0,11204.0,14066.0,14580.0,24115.0,-2.0,48218,51578
DE24A,4.45904368376462,103.0,7645.0,9933.0,10906.0,17530.0,-2.0,32764,33465
DE24B,15.2937087243657,109.0,8442.0,10871.0,11732.0,18293.0,-1.0,35883,37138
DE24C,25.4114411276701,129.0,8459.0,10564.0,11318.0,16744.0,0.0,32203,32445
DE24D,55.9131573205324,121.0,8628.0,10801.0,11171.0,18068.0,-1.0,38161,41056
DE251,19.1076717301997,420.0,5672.0,7638.0,7564.0,9397.0,5.0,21864,22074
DE252,9.84525056162679,1453.0,14924.0,25717.0,22886.0,22503.0,6.0,62577,64517
DE253,29.72581843783,2020.0,17390.0,22626.0,27032.0,29737.0,7.0,66372,65292
DE254,10.2148589578531,2783.0,69434.0,98245.0,108489.0,108764.0,4.0,281883,280643
DE255,4.86795667518559,1007.0,5752.0,6588.0,7360.0,9871.0,4.0,20387,20345
DE256,15.1895712743508,94.0,25860.0,31693.0,32672.0,44562.0,3.0,83542,83981
DE257,8.07463902693259,242.0,19829.0,21008.0,24962.0,33044.0,3.0,63014,63609
DE258,49.4665290701145,382.0,15875.0,16991.0,20683.0,28855.0,2.0,57424,57838
DE259,25.735208104251,214.0,22988.0,26044.0,29972.0,42151.0,4.0,83309,84041
DE25A,5.99412575675838,79.0,13604.0,16553.0,17491.0,24497.0,3.0,45683,45895
DE25B,5.52067888576927,142.0,17267.0,20725.0,22114.0,31639.0,3.0,58374,57907
DE25C,26.3874522387114,98.0,12859.0,15733.0,16302.0,22726.0,3.0,44518,44676
DE261,1.42352807197358,1126.0,9379.0,12084.0,13817.0,15883.0,4.0,37145,37840
DE262,33.6159563739588,1502.0,7185.0,9640.0,9549.0,10913.0,3.0,28839,28872
DE263,40.8483896307934,1454.0,13479.0,32994.0,24978.0,23496.0,2.0,75715,78511
DE264,24.0705611306286,250.0,23126.0,27574.0,29978.0,44081.0,1.0,81722,83146
DE265,17.3987008969997,91.0,12960.0,15819.0,16657.0,25116.0,1.0,50638,52349
DE266,10.01527329177,78.0,10722.0,12858.0,13174.0,19628.0,0.0,36966,39146
DE267,7.08123355088456,89.0,11353.0,13847.0,14592.0,21106.0,1.0,38696,39290
DE268,4.40068210572639,133.0,12184.0,15338.0,16223.0,22134.0,3.0,42366,42350
DE269,3.88331417565007,180.0,17277.0,21090.0,22152.0,31922.0,1.0,59936,61657
DE26A,4.73514742092304,96.0,15941.0,19923.0,20874.0,31703.0,0.0,60611,62236
DE26B,21.6014447046218,138.0,15351.0,18858.0,19764.0,28283.0,2.0,53681,54831
DE26C,4.31770939348519,168.0,22147.0,25957.0,28973.0,38997.0,2.0,77054,78500
DE271,5.40843851619489,2016.0,38165.0,60845.0,62547.0,60003.0,7.0,157633,155061
DE272,11.4108357296088,1093.0,5933.0,7346.0,7843.0,9744.0,5.0,22735,22457
DE273,14.5249611457289,1089.0,8893.0,13389.0,12945.0,14076.0,6.0,36109,35414
DE274,0.0,625.0,6043.0,7597.0,8149.0,9714.0,5.0,22284,21943
DE275,14.9565139357319,171.0,19731.0,21878.0,24340.0,32830.0,4.0,60218,59624
DE276,4.35973350138124,236.0,36304.0,41186.0,45466.0,61194.0,5.0,117189,115609
DE277,30.3363146608086,121.0,13302.0,16600.0,16905.0,23082.0,3.0,42808,42398
DE278,3.19119230922653,164.0,17546.0,22087.0,22798.0,30187.0,4.0,57037,56758
DE279,14.9666990945147,337.0,24452.0,30276.0,32958.0,39682.0,4.0,83157,83296
DE27A,9.83320427252726,252.0,10866.0,13152.0,14103.0,19641.0,3.0,40525,41914
DE27B,27.7884656491813,101.0,20182.0,23555.0,24574.0,33153.0,4.0,65922,66915
DE27C,9.73405179906136,117.0,20199.0,24790.0,25187.0,33993.0,5.0,65941,65718
DE27D,17.1704578539914,105.0,18871.0,23201.0,24871.0,31648.0,3.0,60212,60259
DE27E,4.50013178957384,102.0,20694.0,24988.0,26744.0,37458.0,3.0,77811,82757
DE300,6.16846571151887,4126.0,514064.0,647026.0,829388.0,764684.0,7.0,2065652,1979072
DE401,1.39697972982412,314.0,8529.0,9229.0,12942.0,15869.0,1.0,40801,43339
DE402,0.0,612.0,12310.0,15506.0,18237.0,22110.0,1.0,56386,57699
DE403,0.0,392.0,6998.0,8525.0,9980.0,12915.0,0.0,32508,33396
DE404,28.7107197946339,947.0,26973.0,29426.0,40318.0,36005.0,10.0,97647,94917
DE405,16.0408876695356,122.0,24430.0,20313.0,32785.0,46283.0,4.0,89183,91612
DE406,4.78271526702497,74.0,22129.0,19395.0,30312.0,42381.0,4.0,82001,84579
DE407,2.93063194193441,54.0,11885.0,10425.0,16462.0,26238.0,-4.0,51508,56540
DE408,3.73229492594505,93.0,22186.0,19989.0,28219.0,42674.0,4.0,77835,80236
DE409,2.0771343854019,89.0,25310.0,20071.0,34653.0,50764.0,3.0,95239,98534
DE40A,4.29000429000429,116.0,28794.0,24979.0,37453.0,55158.0,3.0,102340,103704
DE40B,1.81778521049953,90.0,12816.0,11570.0,18141.0,27202.0,-3.0,58268,63383
DE40C,1.69329848901332,79.0,22270.0,19008.0,30134.0,44450.0,0.0,88869,94636
DE40D,0.0,39.0,12147.0,11146.0,16854.0,25091.0,0.0,50559,54082
DE40E,17.8190429298258,82.0,30601.0,24051.0,37653.0,57083.0,4.0,98418,100681
DE40F,0.0,36.0,8715.0,8566.0,11725.0,19595.0,-2.0,40400,44784
DE40G,0.0,69.0,13220.0,10947.0,17703.0,30376.0,-4.0,57002,63273
DE40H,7.7895619869375,79.0,22625.0,20800.0,31165.0,42677.0,4.0,82623,85442
DE40I,1.67790865465284,39.0,14244.0,12992.0,18764.0,30206.0,-2.0,62707,67564
DE501,9.33170879434322,1748.0,75064.0,107166.0,110495.0,122047.0,4.0,308420,295273
DE502,5.29497418700084,1505.0,16522.0,20190.0,19902.0,24406.0,4.0,62067,64077
DE600,14.440019296625,2498.0,261011.0,344130.0,417818.0,391391.0,6.0,1013795,963622
DE711,11.3131414708341,1304.0,21800.0,37968.0,32419.0,31027.0,6.0,81229,79325
DE712,9.15917450616784,3037.0,109690.0,141245.0,189233.0,157059.0,7.0,397262,395865
DE713,7.06735979143436,2843.0,20003.0,24371.0,28059.0,26670.0,7.0,64619,61820
DE714,7.84310929372801,1375.0,42016.0,48543.0,56182.0,61586.0,2.0,144989,143217
DE715,1.11319319467894,375.0,35662.0,41824.0,46302.0,66932.0,3.0,129116,126912
DE716,7.07489960380562,451.0,41614.0,48568.0,52957.0,72265.0,4.0,138173,135831
DE717,5.49104593442959,604.0,40659.0,46936.0,53633.0,62651.0,6.0,128386,125274
DE718,2.52926571200938,493.0,35498.0,33932.0,41237.0,58136.0,4.0,114380,112945
DE719,12.3834290667657,301.0,57803.0,68152.0,75632.0,100129.0,4.0,200655,198376
DE71A,6.7150429552904,1073.0,35857.0,35411.0,44960.0,57170.0,4.0,114975,113194
DE71B,65.1546647637368,155.0,12378.0,15203.0,15860.0,23288.0,1.0,45873,46598
DE71C,12.4547101449275,993.0,51227.0,56141.0,66465.0,82048.0,4.0,169846,165901
DE71D,4.27161034370445,231.0,25017.0,28477.0,31350.0,46867.0,3.0,91993,91238
DE71E,4.24423274066432,279.0,42191.0,49729.0,54864.0,74646.0,4.0,144428,142718
DE721,1.49097957357984,314.0,34837.0,58752.0,48162.0,57685.0,6.0,132749,131669
DE722,7.86559275106972,239.0,34470.0,42149.0,43571.0,60769.0,1.0,122180,120438
DE723,4.07045373929325,233.0,23448.0,28328.0,29573.0,41944.0,1.0,81565,82373
DE724,1.62227710926442,196.0,32468.0,52706.0,43283.0,54437.0,2.0,117802,117980
DE725,5.65866908103214,73.0,12987.0,15962.0,16978.0,26193.0,0.0,50235,51572
DE731,4.45849144465031,1894.0,26687.0,43107.0,38462.0,41568.0,4.0,110018,106857
DE732,6.30034651905855,161.0,31036.0,39516.0,38709.0,51652.0,3.0,106069,107185
DE733,19.0257178072447,110.0,15962.0,18640.0,19703.0,28823.0,1.0,57401,59223
DE734,13.1114259733119,183.0,30081.0,34697.0,38039.0,57827.0,1.0,115298,115798
DE735,21.5913368912904,118.0,23239.0,27959.0,30176.0,44364.0,1.0,85841,87533
DE736,3.18558586109571,85.0,20707.0,24785.0,25343.0,38514.0,0.0,75762,78518
DE737,15.8608999078085,99.0,12122.0,15623.0,15303.0,24377.0,1.0,50333,52032
DE803,0.966417008939357,1228.0,25017.0,38577.0,41208.0,40021.0,2.0,119825,121397
DE804,0.0,729.0,12646.0,14151.0,17766.0,19737.0,4.0,54748,58089
DE80J,1.15478330491283,47.0,32647.0,29946.0,44216.0,64531.0,-1.0,135718,148194
DE80K,1.40251143046816,62.0,29235.0,22861.0,38062.0,55284.0,2.0,104012,111252
DE80L,0.89280134277322,71.0,27530.0,25706.0,38768.0,55366.0,0.0,117588,130781
DE80M,0.641268171936822,74.0,20615.0,19517.0,28815.0,38344.0,0.0,77507,83376
